id,name
0,"The action of Turtle neck involves a person pulling a high, snug collar up over their neck, often using both hands to adjust the fit, while the head may slightly lower to accommodate the collar’s rise."
1,"The action of Bulging face, deep breath involves the person inflating their cheeks by taking a deep breath, causing their lips to pucker slightly while their diaphragm contracts and expands to draw air into the lungs."
2,"The action of Touching hat involves raising one hand, extending the fingers, and lightly pressing them against the surface of the hat, while the other hand may remain at the side or rest on the body."
3,"The action of Touching or scratching head involves raising one or both hands towards the head, with fingers extended, and making contact with the scalp, either by lightly brushing, pressing, or rubbing in a circular or back-and-forth motion."
4,"The action of Touching or scratching forehead involves raising one hand, with fingers extended or curled, to make contact with the skin at the center of the forehead, often involving a light back-and-forth or circular motion."
5,"The action of Covering face involves bringing both hands up to the face, with fingers spread or palms flat, to shield the features from view, while positioning the arms in front of the face or slightly to the sides."
6,"The action of Rubbing eyes involves bringing one or both hands to the face, with fingers either pressing on the eyelids or the skin around the eyes, and moving in a circular or back-and-forth motion to apply gentle pressure or friction."
7,"The action of Touching or scratching facial parts involves bringing one or more fingers to the face, typically moving them in a gentle, repetitive motion across areas like the cheek, forehead, or chin, often accompanied by slight pressure to alleviate discomfort or explore sensation."
8,"The action of Touching ears involves raising both arms to bring the hands up to the ears, with fingers either gently pressing against the earlobes or the outer ear, while the elbows remain bent at the sides of the body."
9,"The action of Biting nails involves bringing one hand to the mouth, with fingers positioned so that a nail rests between the teeth, as the individual uses their teeth to grasp and apply pressure to the nail, creating a biting motion."
10,"The action of Touching jaw involves one hand reaching up to the face, with fingers gently resting against the lower jaw, either cupping it or applying light pressure while the arm remains relaxed at the side."
11,"The action of Touching or scratching neck involves bringing one or both hands up towards the neck, with fingers gently making contact on the skin, either gliding or applying pressure in a scratching motion, while the head may tilt slightly to one side for better access."
12,"The action of Playing or adjusting hair involves using one or both hands to manipulate strands of hair, typically by running fingers through the hair, smoothing it down, or twisting sections, while the head may tilt slightly for better access."
13,"The action of Buckle button，pulling shirt collar, adjusting tie involves using one hand to grasp the button while the other hand pulls the fabric of the shirt collar away from the neck, followed by positioning the tie with both hands to ensure it is aligned and adjusted around the neck."
14,"The action of Touching or covering suprasternal notch involves raising one hand to the neck region, positioning the fingertips or palm directly over the indentation at the base of the throat, while the other hand may rest at the side or on the lap."
15,"The action of Scratching back involves the person extending one arm and bending it at the elbow, bringing the hand or fingers to the back to apply pressure and rub against the skin, while the other arm may remain at the side or assist in stabilizing the body."
16,"The action of Folding arms involves bringing both arms across the chest, with one arm positioned over the other, often resulting in the hands resting on the upper arms or shoulders, and the elbows bent."
17,"The action of Dustoffing clothes involves a person standing upright, extending one or both arms outward, and using the palms or fingers to swipe downward in a gentle, flicking motion across the fabric to remove dust and debris."
18,"The action of Putting arms behind body behind the body involves extending both arms backward at the shoulders while keeping them straight, allowing the palms to face outward or interlock at the lower back."
19,"The action of Moving torso involves rotating or bending the upper body while keeping the lower body stable, with the spine flexing and the shoulders and hips shifting accordingly to facilitate the movement."
20,"The action of Siting straightly involves positioning the pelvis at the back of the seat, aligning the spine vertically, keeping the shoulders relaxed yet back, and placing the feet flat on the ground with knees at a right angle."
21,"The action of Scratching or touching arms involves one arm reaching across the body to make contact with the opposite arm, using fingers or fingernails applied against the skin in a rubbing or tapping motion."
22,"The action of Rubbing or holding hands involves bringing both hands together, with palms either pressed against each other while fingers interlace or one hand sliding back and forth across the other to create friction."
23,"The action of Crossing fingers involves interlocking one finger from one hand over one or more fingers of the other hand, typically with the index finger crossing over the middle finger, while the palms remain facing each other or slightly away."
24,"The action of Minaret gesture involves raising one arm straight up with the hand open and fingers extended, while the other arm is positioned down by the side or slightly bent, often accompanied by a slight tilt of the head to emphasize the upward motion."
25,"The action of Playing or manipulating objects involves using one or both hands to pick up, twist, or dangle various pieces, while fingers meticulously slide over surfaces to examine details and may also reach to interact with nearby objects, such as placing or stacking them for arrangement."
26,"The action of Hold back arms involves positioning the arms at shoulder height with elbows bent, palms facing inward, while pulling the shoulders down and slightly back to create tension in the chest and upper back."
27,"The action of Head up involves the person tilting their chin upward, straightening their neck, and lifting their head from a lowered or neutral position, resulting in a more upright posture."
28,"The action of Pressing lips involves bringing the lips together firmly, typically maintaining a closed position while the surrounding facial muscles may slightly tense, creating a seal."
29,"The action of Arms akimbo involves a person standing upright with their feet shoulder-width apart, placing their hands on their hips with elbows bent outward, creating a strong and assertive stance."
30,"The action of Shaking shoulders shoulders involves lifting both shoulders simultaneously and rapidly moving them up and down in a rhythmic motion, while keeping the arms relaxed at the sides."
31,"The action of Illustrative hand gestures involves moving the hands and arms, often with expressive motions such as pointing, waving, or emphasizing, while the fingers may be spread or curled to enhance clarity and illustrate the message being conveyed."
