clip,caption
184_24.0763_27.4979_22.mp4,"The action of rubbing or holding hands involves bringing both hands together, with fingers interlaced or palms pressed together, and then moving one hand in a gentle, back-and-forth motion across the other, or holding the hands still with a gentle squeeze."
184_27.2536_29.8911_23.mp4,"The action of crossing fingers involves extending the index and middle fingers of one hand and bending the corresponding fingers of the other hand, then bringing the two hands together to form an X shape, with the crossed fingers forming the center of the X""."""
184_41.2495_42.7014_30.mp4,"The action of Shake double shoulders involves lifting both shoulders up and down simultaneously, with the shoulders moving in a small, rapid oscillating motion, while keeping the rest of the upper body still."
184_43.9734_45.3899_30.mp4,"The action of Shake double shoulders involves lifting both shoulders up and down simultaneously, with the shoulders moving in a small, rapid oscillating motion, while keeping the rest of the upper body still."
184_49.1852_50.0799_28.mp4,"The action of Pressing lips involves bringing the upper and lower lips together, with the upper lip slightly raised and the lower lip gently pressed against it, forming a gentle seal or pucker."
184_72.6851_73.6668_31.mp4,"The action of illustrative hand gestures involves extending one or both arms, with the hands moving in various shapes and patterns, such as circular motions, sweeping arcs, or pointed fingers, to convey emphasis, illustrate a point, or add visual expression to verbal communication."
184_77.3556_78.1838_31.mp4,"The action of illustrative hand gestures involves extending one or both arms, with the hands moving in various shapes and patterns, such as circular motions, sweeping arcs, or pointed fingers, to convey emphasis, illustrate a point, or add visual expression to verbal communication."
184_78.3692_83.42_7.mp4,"The action of scratching or touching facial parts involves extending the index finger or middle finger from the hand, flexing the wrist to move the finger towards the face, and then applying gentle pressure or scratching motion to specific areas such as the nose, cheeks, or forehead."
184_102.5634_103.85_28.mp4,"The action of Pressing lips involves bringing the upper and lower lips together, with the upper lip slightly raised and the lower lip gently pressed against it, forming a gentle seal or pucker."
184_125.1491_126.6473_28.mp4,"The action of Pressing lips involves bringing the upper and lower lips together, with the upper lip slightly raised and the lower lip gently pressed against it, forming a gentle seal or pucker."
184_126.9937_128.4056_7.mp4,"The action of scratching or touching facial parts involves extending the index finger or middle finger from the hand, flexing the wrist to move the finger towards the face, and then applying gentle pressure or scratching motion to specific areas such as the nose, cheeks, or forehead."
184_129.4373_130.4998_12.mp4,"The action of playing or adjusting hair involves gently grasping a strand or section of hair with the fingers, using the thumb and index finger to manipulate and style, and moving the hand and arm in a slow, sweeping motion to detangle, comb, or arrange the hair."
